episode,accumulated_wait_times,accumulated_avg_wait_times,accumulated_queue_length,accumulated_avg_queue_length,accumulated_total_fuel_consumption,accumulated_avg_fuel_consumption,accumulated_pedestrian_wait_times,accumulated_pedestrian_avg_wait_times
69,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
70,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
71,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
72,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
73,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
74,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
75,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
76,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
77,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
78,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
79,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
80,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
81,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
82,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
83,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
84,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
85,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
86,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
87,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
88,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
89,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
90,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
91,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
92,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
93,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
94,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
95,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
96,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
97,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
98,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
99,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
100,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
101,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
102,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
103,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
104,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
105,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
106,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
107,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
108,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
109,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
110,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
111,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
112,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
113,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
114,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
115,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
116,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
117,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
118,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
119,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
120,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
121,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
122,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
123,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
124,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
125,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
126,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
127,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
128,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
129,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
