episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1951.0,0.0,25015.0,25015.0,0.0,72129964.56015688,24235.0,2476920.0,131.99976965039065,24235.0,2476920.0,-511.86,12.821629933367504,0.0,36970.76604826083,2.605729166666667
2,1863.0,0.0,24482.0,24482.0,0.0,70715462.14841877,23730.0,1628006.0,135.7240895093234,23730.0,1628006.0,-483.85,13.141170155662907,0.0,37957.84334321995,2.5502083333333334
3,1906.0,0.0,23127.0,23127.0,0.0,69331607.71519607,22394.0,1646862.0,143.7708029413527,22394.0,1646862.0,-471.81,12.133788037775446,0.0,36375.45000797276,2.4090625
4,1993.0,0.0,23799.0,23799.0,0.0,70273528.99562465,23031.0,1080579.0,134.47683564167806,23031.0,1080579.0,-433.54,11.941294530858004,0.0,35260.17511069977,2.4790625
5,1968.0,0.0,23792.0,23792.0,0.0,70967627.49080586,22998.0,1149912.0,137.05229176373882,22998.0,1149912.0,-397.7,12.089430894308943,0.0,36060.78632662899,2.478333333333333
6,1917.0,0.0,22458.0,22458.0,0.0,68276791.64788792,21688.0,1697819.0,141.56557407432217,21688.0,1697819.0,-454.27,11.715179968701095,0.0,35616.479732857544,2.339375
7,2036.0,0.0,21077.0,21077.0,0.0,66488522.80223583,20306.0,872590.0,147.05871914055132,20306.0,872590.0,-408.05,10.352161100196463,0.0,32656.445384202278,2.195520833333333
8,1964.0,0.0,22220.0,22220.0,0.0,69212889.8556467,21425.0,1103247.0,144.0639626064463,21425.0,1103247.0,-420.44000000000005,11.313645621181262,0.0,35240.778948903615,2.314583333333333
9,2008.0,0.0,21294.0,21294.0,0.0,66834860.916715145,20516.0,1042837.0,147.91878767745945,20516.0,1042837.0,-411.96,10.604581673306772,0.0,33284.29328521671,2.218125
10,1949.0,0.0,22541.0,22541.0,0.0,69063055.32340111,21772.0,915847.0,144.90382945999266,21772.0,915847.0,-392.94,11.565418163160595,0.0,35435.12330600365,2.348020833333333
11,1999.0,0.0,21690.0,21690.0,0.0,68853916.12645973,20930.0,1025872.0,149.02053957765165,20930.0,1025872.0,-401.82,10.850425212606304,0.0,34444.18015330652,2.259375
12,2001.0,0.0,21006.0,21006.0,0.0,68212310.4328816,20237.0,816692.0,149.61747317631358,20237.0,816692.0,-372.34,10.497751124437782,0.0,34089.110661110244,2.188125
13,1989.0,0.0,22594.0,22594.0,0.0,69259645.10833898,21817.0,1095586.0,139.16777638160158,21817.0,1095586.0,-405.03,11.359477124183009,0.0,34821.339923750114,2.353541666666666
14,1990.0,0.0,24470.0,24470.0,0.0,72070544.60022774,23695.0,1005520.0,139.9699841772478,23695.0,1005520.0,-441.29,12.296482412060302,0.0,36216.3540704662,2.548958333333333
15,1954.0,0.0,20101.0,20101.0,0.0,66413017.16938722,19348.0,1224287.0,155.1933919777856,19348.0,1224287.0,-382.11,10.287103377686796,0.0,33988.238060075346,2.0938541666666666
16,1945.0,0.0,22433.0,22433.0,0.0,69913075.70865194,21654.0,994115.0,138.23809722357183,21654.0,994115.0,-381.76,11.533676092544988,0.0,35945.026071286346,2.336770833333333
17,2002.0,0.0,23963.0,23963.0,0.0,70210322.66460553,23195.0,1127491.0,140.9700775191617,23195.0,1127491.0,-420.45,11.96953046953047,0.0,35070.0912410617,2.4961458333333333
18,1986.0,0.0,22197.0,22197.0,0.0,68833761.42129299,21442.0,922161.0,142.91367610076557,21442.0,922161.0,-391.8,11.176737160120846,0.0,34659.49719098338,2.3121875
19,1888.0,0.0,21469.0,21469.0,0.0,68010287.47777897,20717.0,816952.0,148.84849132980068,20717.0,816952.0,-354.63,11.371292372881356,0.0,36022.398028484626,2.236354166666666
20,1955.0,0.0,23299.0,23299.0,0.0,70157042.22106454,22516.0,809749.0,140.12159267114353,22516.0,809749.0,-410.89,11.91764705882353,0.0,35885.95510028877,2.4269791666666665
