episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1803.0,0.0,27637.0,27637.0,0.0,69349274.86018053,26869.0,3133151.0,131.10771906847083,26869.0,3133151.0,-680.91,15.328341652800887,0.0,38463.26947320051,2.8788541666666667
2,1873.0,0.0,28303.0,28303.0,0.0,74124900.70913504,27519.0,3528119.0,121.00738524770146,27519.0,3528119.0,-670.0,15.11105178857448,0.0,39575.49423872666,2.9482291666666667
3,1907.0,0.0,24052.0,24052.0,0.0,69508155.53404538,23288.0,1247418.0,136.64065339876026,23288.0,1247418.0,-492.84,12.612480335605664,0.0,36448.95413426607,2.505416666666666
4,1989.0,0.0,42921.0,42921.0,0.0,84817419.61341862,42142.0,8029456.0,109.10543116561834,42142.0,8029456.0,-1370.29,21.579185520361992,0.0,42643.247668888194,4.4709375
5,1908.0,0.0,31187.0,31187.0,0.0,78781291.43514588,30426.0,1969750.0,125.43101820283268,30426.0,1969750.0,-717.23,16.34538784067086,0.0,41289.98502890245,3.248645833333333
6,1893.0,0.0,28569.0,28569.0,0.0,76528940.97764954,27823.0,1181209.0,126.3089139857438,27823.0,1181209.0,-517.53,15.091917591125195,0.0,40427.33279326442,2.9759375
7,1882.0,0.0,25338.0,25338.0,0.0,72090576.4985546,24577.0,962697.0,131.78016144656436,24577.0,962697.0,-452.39,13.463336875664186,0.0,38305.30100879628,2.639375
8,1840.0,0.0,25913.0,25913.0,0.0,74204130.48972324,25161.0,1081810.0,129.6644560009254,25161.0,1081810.0,-456.71,14.083152173913044,0.0,40328.33178789306,2.6992708333333333
9,1830.0,0.0,28099.0,28099.0,0.0,77803063.3686018,27327.0,1332901.0,117.65799478806318,27327.0,1332901.0,-495.73,15.354644808743169,0.0,42515.33517409935,2.9269791666666665
10,1877.0,0.0,28032.0,28032.0,0.0,76313423.74021702,27253.0,1568192.0,121.7114146364652,27253.0,1568192.0,-503.11,14.93446989877464,0.0,40657.1250613836,2.92
11,1951.0,0.0,24976.0,24976.0,0.0,73096005.7808944,24205.0,1200704.0,131.75814414818365,24205.0,1200704.0,-451.63,12.80164018452076,0.0,37465.91787846971,2.6016666666666666
12,1897.0,0.0,24996.0,24996.0,0.0,73186856.98533027,24242.0,1187658.0,129.14591742509452,24242.0,1187658.0,-449.73,13.176594623089088,0.0,38580.31469969967,2.60375
13,1941.0,0.0,25730.0,25730.0,0.0,75398606.60436597,24956.0,1105616.0,126.69085528473072,24956.0,1105616.0,-436.44,13.256053580628542,0.0,38845.23781780833,2.6802083333333333
14,1894.0,0.0,26664.0,26664.0,0.0,75813517.80501965,25913.0,1329004.0,124.30255615374048,25913.0,1329004.0,-480.8499999999999,14.078141499472016,0.0,40028.25649684248,2.7775
15,1903.0,0.0,26745.0,26745.0,0.0,75276034.65448941,25977.0,1592750.0,126.28783983406171,25977.0,1592750.0,-499.93,14.05412506568576,0.0,39556.50796347315,2.7859375
16,1990.0,0.0,27404.0,27404.0,0.0,75698969.2253474,26621.0,1091400.0,133.88123663124156,26621.0,1091400.0,-488.62,13.770854271356784,0.0,38039.68302781277,2.8545833333333333
17,1874.0,0.0,28087.0,28087.0,0.0,76475232.73825331,27321.0,1496017.0,124.12262791237318,27321.0,1496017.0,-478.81,14.987726787620064,0.0,40808.55535659195,2.9257291666666667
18,1903.0,0.0,24838.0,24838.0,0.0,72220001.0484013,24081.0,1022991.0,130.14294790360344,24081.0,1022991.0,-429.43,13.052023121387284,0.0,37950.604859906096,2.5872916666666668
19,1937.0,0.0,25838.0,25838.0,0.0,73694565.65905565,25057.0,971978.0,126.59296000102532,25057.0,971978.0,-429.64,13.339184305627258,0.0,38045.72310741128,2.6914583333333333
20,1934.0,0.0,24867.0,24867.0,0.0,73309817.80308929,24084.0,1028168.0,136.67919118649388,24084.0,1028168.0,-438.81,12.857807652533609,0.0,37905.800311835206,2.5903125
