episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1799.0,0.0,27030.0,27030.0,0.0,69930263.17219213,26240.0,3920034.0,130.5006011221625,26240.0,3920034.0,-651.83,15.025013896609227,0.0,38871.74161878384,2.815625
2,1932.0,0.0,26715.0,26715.0,0.0,71780208.14564504,25926.0,1418128.0,125.96051463618016,25926.0,1418128.0,-554.19,13.827639751552796,0.0,37153.31684557197,2.7828125
3,1602.0,0.0,77640.0,77640.0,0.0,101325147.23896916,76884.0,52122145.0,70.09354738330919,76884.0,52122145.0,-1389.0100000000002,48.46441947565543,0.0,63249.15557988087,8.0875
4,1907.0,0.0,46663.0,46663.0,0.0,91332068.06319705,45887.0,7135696.0,103.51776490505604,45887.0,7135696.0,-1309.2199999999998,24.46932354483482,0.0,47893.06138604984,4.860729166666666
5,1976.0,0.0,35479.0,35479.0,0.0,80076364.63552132,34716.0,4519307.0,122.266630481123,34716.0,4519307.0,-961.0,17.954959514170042,0.0,40524.476030122125,3.6957291666666663
6,1940.0,0.0,28030.0,28030.0,0.0,76685544.32760352,27286.0,1622096.0,123.07907551918888,27286.0,1622096.0,-575.25,14.448453608247425,0.0,39528.63109670285,2.919791666666667
7,1873.0,0.0,43411.0,43411.0,0.0,88548147.77852127,42633.0,3904301.0,105.2641530455923,42633.0,3904301.0,-1142.5,23.17725573945542,0.0,47276.10666231782,4.521979166666667
8,1909.0,0.0,29018.0,29018.0,0.0,75989212.88955057,28278.0,2069773.0,117.42237552414343,28278.0,2069773.0,-613.4399999999999,15.20062860136197,0.0,39805.76893114226,3.0227083333333336
9,1973.0,0.0,31317.0,31317.0,0.0,78725566.16099824,30562.0,1635826.0,116.46067486267452,30562.0,1635826.0,-644.82,15.872782564622405,0.0,39901.45269183895,3.2621875
10,2027.0,0.0,31996.0,31996.0,0.0,79671144.11173846,31236.0,2390222.0,118.0512654734854,31236.0,2390222.0,-659.02,15.784903798717316,0.0,39304.95516119312,3.3329166666666667
11,1915.0,0.0,25934.0,25934.0,0.0,74236168.9228466,25164.0,1216495.0,130.50831666488173,25164.0,1216495.0,-503.52,13.542558746736292,0.0,38765.623458405535,2.701458333333333
12,1967.0,0.0,31336.0,31336.0,0.0,78949936.83797373,30561.0,1746739.0,113.77469596235008,30561.0,1746739.0,-631.5600000000001,15.930859176410776,0.0,40137.23275951893,3.2641666666666667
13,1933.0,0.0,29382.0,29382.0,0.0,77494752.39398551,28626.0,1251021.0,123.23018128268754,28626.0,1251021.0,-559.04,15.200206932229694,0.0,40090.4047563298,3.060625
14,1968.0,0.0,27190.0,27190.0,0.0,75625064.75811177,26407.0,1766366.0,124.53241239344965,26407.0,1766366.0,-487.92,13.816056910569106,0.0,38427.370303918586,2.832291666666667
15,1914.0,0.0,28274.0,28274.0,0.0,75991201.56620216,27496.0,2186768.0,125.6300101239623,27496.0,2186768.0,-520.5,14.772204806687563,0.0,39702.82213490186,2.945208333333333
16,2073.0,0.0,26765.0,26765.0,0.0,75011535.93119238,25988.0,1357765.0,130.2660557482526,25988.0,1357765.0,-514.53,12.911239749155811,0.0,36185.01492098041,2.7880208333333334
17,1984.0,0.0,29095.0,29095.0,0.0,77866515.1255693,28329.0,1317813.0,122.99262828849416,28329.0,1317813.0,-544.3399999999999,14.664818548387096,0.0,39247.235446355495,3.0307291666666667
18,1935.0,0.0,27279.0,27279.0,0.0,74749333.27667195,26512.0,1321029.0,123.575684564547,26512.0,1321029.0,-498.2,14.097674418604653,0.0,38630.14639621289,2.8415625
19,1919.0,0.0,30055.0,30055.0,0.0,78187996.92330459,29297.0,1264450.0,120.2570250316814,29297.0,1264450.0,-542.61,15.661803022407504,0.0,40744.13596837133,3.130729166666667
20,1902.0,0.0,29242.0,29242.0,0.0,78126789.87359905,28469.0,1230503.0,118.07413242744934,28469.0,1230503.0,-529.55,15.37434279705573,0.0,41076.12506498373,3.0460416666666665
