episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
27,1804.0,0.0,20473.0,20473.0,0.0,60715693.6982272,19707.0,6947397.0,162.69830466201185,19707.0,6947397.0,-19707.0,11.348669623059868,0.0,33656.14950012594,2.132604166666667
28,1870.0,0.0,20386.0,20386.0,0.0,61085956.27616952,19617.0,5584110.0,160.38420402734437,19617.0,5584110.0,-19617.0,10.901604278074869,0.0,32666.28677870028,2.1235416666666667
29,1787.0,0.0,20642.0,20642.0,0.0,60829167.78511372,19874.0,5350429.0,163.77885664249658,19874.0,5350429.0,-19874.0,11.551203133743703,0.0,34039.82528545815,2.150208333333333
30,1787.0,0.0,20497.0,20497.0,0.0,60080193.44537657,19738.0,6841340.0,163.48999629969103,19738.0,6841340.0,-19738.0,11.47006155567991,0.0,33620.70142438532,2.135104166666667
31,1856.0,0.0,21048.0,21048.0,0.0,62169969.21448709,20281.0,5234758.0,159.40802969401906,20281.0,5234758.0,-20281.0,11.34051724137931,0.0,33496.75065435727,2.1925
32,1840.0,0.0,19431.0,19431.0,0.0,60194000.8352452,18637.0,7125360.0,166.85621163140408,18637.0,7125360.0,-18637.0,10.560326086956522,0.0,32714.130888720218,2.0240625
33,1880.0,0.0,20132.0,20132.0,0.0,61796124.6693926,19324.0,5255079.0,158.95070412943866,19324.0,5255079.0,-19324.0,10.708510638297872,0.0,32870.27907946415,2.0970833333333334
34,1806.0,0.0,19742.0,19742.0,0.0,60555559.11754882,18969.0,6756537.0,162.9035772231171,18969.0,6756537.0,-18969.0,10.931339977851604,0.0,33530.20992112338,2.056458333333333
35,1819.0,0.0,21469.0,21469.0,0.0,61013866.65454051,20729.0,5141577.0,154.67270300830342,20729.0,5141577.0,-20729.0,11.80263881253436,0.0,33542.532520363115,2.236354166666666
36,1875.0,0.0,20310.0,20310.0,0.0,61025187.79614043,19515.0,5640359.0,161.9070861082572,19515.0,5640359.0,-19515.0,10.832,0.0,32546.766824608232,2.115625
37,1877.0,0.0,20333.0,20333.0,0.0,61883151.36761484,19585.0,4305929.0,153.2631274532956,19585.0,4305929.0,-19585.0,10.83271177410762,0.0,32969.18027043945,2.118020833333333
38,1876.0,0.0,23005.0,23005.0,0.0,62972758.4857728,22236.0,5816986.0,151.11278299271294,22236.0,5816986.0,-22236.0,12.26279317697228,0.0,33567.56848921791,2.396354166666667
39,1961.0,0.0,22209.0,22209.0,0.0,64334699.71385993,21452.0,3192032.0,149.24405939598245,21452.0,3192032.0,-21452.0,11.325344212136663,0.0,32807.08807438039,2.3134375
40,1848.0,0.0,20889.0,20889.0,0.0,61155429.18602912,20137.0,4737454.0,156.10104665103503,20137.0,4737454.0,-20137.0,11.303571428571429,0.0,33092.76471105472,2.1759375
41,1813.0,0.0,21962.0,21962.0,0.0,61743964.45823355,21166.0,5085979.0,154.14658651990618,21166.0,5085979.0,-21166.0,12.113623827909542,0.0,34056.24073813213,2.287708333333333
42,1966.0,0.0,21441.0,21441.0,0.0,63969616.87379316,20677.0,4963179.0,158.45728357764162,20677.0,4963179.0,-20677.0,10.9059003051882,0.0,32537.95364892836,2.2334375
43,1802.0,0.0,20869.0,20869.0,0.0,61142984.4755843,20085.0,5132377.0,160.8681947533458,20085.0,5132377.0,-20085.0,11.581021087680355,0.0,33930.6240153076,2.173854166666666
44,1964.0,0.0,21207.0,21207.0,0.0,63645222.29372148,20465.0,4152736.0,160.5177889725759,20465.0,4152736.0,-20465.0,10.79786150712831,0.0,32405.917664827637,2.2090625
45,1803.0,0.0,20613.0,20613.0,0.0,60943179.89226075,19849.0,4957412.0,156.10300570932438,19849.0,4957412.0,-19849.0,11.43261231281198,0.0,33800.98718372754,2.1471875
